Games Played,Result,R,RA,Team,Loss?,Losses,Expected Losses,RD
1,L-wo,2,3,2025 COL,1,1,1,-1
2,W,2,1,2025 COL,0,1,1,0
3,L,4,6,2025 COL,1,2,2,-2
4,L,1,6,2025 COL,1,3,3,-7
5,L,1,5,2025 COL,1,4,4,-11
6,L,1,3,2025 COL,1,5,5,-13
7,L,3,6,2025 COL,1,6,6,-16
8,L,4,7,2025 COL,1,7,6,-19
9,W,12,5,2025 COL,0,7,6,-12
10,L,1,7,2025 COL,1,8,7,-18
11,L,2,17,2025 COL,1,9,9,-33
12,W,7,2,2025 COL,0,9,9,-28
13,L,0,8,2025 COL,1,10,10,-36
14,L,0,2,2025 COL,1,11,11,-38
15,L,0,6,2025 COL,1,12,12,-44
16,L,3,5,2025 COL,1,13,13,-46
17,L,2,6,2025 COL,1,14,14,-50
18,L,7,8,2025 COL,1,15,14,-51
19,L,11,12,2025 COL,1,16,15,-52
20,L,2,3,2025 COL,1,17,15,-53
21,W,3,1,2025 COL,0,17,16,-51
22,L-wo,3,4,2025 COL,1,18,17,-52
23,L,4,7,2025 COL,1,19,17,-55
24,L,2,6,2025 COL,1,20,18,-59
25,L,7,8,2025 COL,1,21,19,-60
26,L,4,6,2025 COL,1,22,19,-62
27,L,1,8,2025 COL,1,23,20,-69
28,L,3,6,2025 COL,1,24,21,-72
29,L,2,8,2025 COL,1,25,22,-78
30,W,2,1,2025 COL,0,25,23,-77
31,W,4,3,2025 COL,0,25,23,-76
32,L,0,4,2025 COL,1,26,24,-80
33,L,3,6,2025 COL,1,27,25,-83
34,L,3,9,2025 COL,1,28,26,-89
35,L,6,8,2025 COL,1,29,27,-91
36,L,2,10,2025 COL,1,30,28,-99
37,L,1,11,2025 COL,1,31,29,-109
38,L,9,13,2025 COL,1,32,30,-113
39,L,0,21,2025 COL,1,33,32,-134
40,W,9,3,2025 COL,0,33,32,-128
41,L,1,2,2025 COL,1,34,33,-129
42,L,1,4,2025 COL,1,35,33,-132
43,L,3,8,2025 COL,1,36,34,-137
44,L,0,8,2025 COL,1,37,36,-145
45,W,14,12,2025 COL,0,37,36,-143
46,L,0,1,2025 COL,1,38,36,-144
47,L,3,9,2025 COL,1,39,37,-150
48,L,4,7,2025 COL,1,40,38,-153
49,L,5,9,2025 COL,1,41,39,-157
50,L,0,2,2025 COL,1,42,40,-159
51,W,3,2,2025 COL,0,42,40,-158
52,L,1,13,2025 COL,1,43,42,-170
53,L,4,5,2025 COL,1,44,42,-171
54,L,1,3,2025 COL,1,45,43,-173
55,L-wo,3,4,2025 COL,1,46,44,-174
56,L,1,2,2025 COL,1,47,45,-175
