Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
1,Monday Apr 11,boxscore,BOS,@,WSH,L-wo,0,1,10,0-1,8,1.0,Crowder,MacFayden,,2:07,D,18000,2.56,-,
2,Wednesday Apr 13,boxscore,BOS,,WSH,L,6,7,,0-2,7,2.0,Brown,Russell,Fischer,1:58,D,4000,2.35,--,
3,Friday Apr 15,boxscore,BOS,,WSH,L,0,2,,0-3,8,3.0,Weaver,Lisenbee,,1:49,D,1500,2.11,---,
4,Saturday Apr 16,boxscore,BOS,,NYY,L,4,14,,0-4,8,3.5,Pennock,MacFayden,,2:15,D,7000,1.91,----,
5,Tuesday Apr 19 (1),boxscore,BOS,,NYY,W,6,5,,1-4,7,3.5,Moore,Andrews,,1:58,D,2000,1.75,+,
6,Tuesday Apr 19 (2),boxscore,BOS,,NYY,L,3,6,,1-5,7,3.5,Rhodes,Lisenbee,,1:46,D,18000,1.93,-,
7,Wednesday Apr 20,boxscore,BOS,@,WSH,L,3,4,,1-6,8,4.5,Burke,MacFayden,,1:43,D,4500,1.80,--,
8,Thursday Apr 21,boxscore,BOS,@,WSH,W,1,0,,2-6,8,4.5,Russell,Crowder,Moore,1:46,D,4800,1.57,+,
9,Saturday Apr 23,boxscore,BOS,@,WSH,L,0,5,,2-7,8,5.0,Fischer,Weiland,,1:52,D,5000,1.75,-,1932-04-22 (Schedule change)
10,Sunday Apr 24,boxscore,BOS,@,NYY,L,2,9,,2-8,8,6.0,Pipgras,Moore,,2:05,D,35000,1.49,--,
11,Tuesday Apr 26,boxscore,BOS,@,PHA,W,10,2,,3-8,8,5.5,Durham,Grove,,1:55,D,1000,1.26,+,
12,Thursday Apr 28,boxscore,BOS,@,NYY,L,1,5,,3-9,8,5.5,Gomez,MacFayden,,1:54,D,5000,1.55,-,
13,Friday Apr 29,boxscore,BOS,@,NYY,L,7,8,,3-10,8,6.5,Andrews,Russell,,2:13,D,5000,1.35,--,
14,Saturday Apr 30,boxscore,BOS,@,NYY,L,3,6,,3-11,8,7.5,Pipgras,Lisenbee,,1:46,D,18347,1.21,---,
15,Monday May 2,boxscore,BOS,,PHA,L,2,3,11,3-12,8,9.0,Grove,Moore,,2:21,D,2500,.86,----,
16,Tuesday May 3,boxscore,BOS,,PHA,L,1,6,,3-13,8,10.0,Earnshaw,MacFayden,,1:57,D,3000,.74,-----,
17,Thursday May 5,boxscore,BOS,,SLB,L,3,11,,3-14,8,10.5,Hadley,Lisenbee,,1:54,D,3000,.59,------,
18,Friday May 6,boxscore,BOS,,SLB,L,5,6,,3-15,8,10.5,Stewart,Donohue,Kimsey,1:57,D,2000,.53,-------,
19,Saturday May 7,boxscore,BOS,,SLB,L,0,4,,3-16,8,11.5,Blaeholder,Russell,,1:56,D,3000,.44,--------,
20,Sunday May 8,boxscore,BOS,,SLB,W,7,5,,4-16,8,11.5,MacFayden,Hebert,,2:00,D,5000,.38,+,
21,Tuesday May 10,boxscore,BOS,,DET,L,0,11,,4-17,8,12.5,Sorrell,Weiland,,1:56,D,1500,.40,-,
22,Thursday May 12,boxscore,BOS,,CLE,L,4,5,,4-18,8,13.0,Connally,Russell,,2:13,D,1000,.30,--,
23,Saturday May 14,boxscore,BOS,,CLE,L,0,6,,4-19,8,14.5,Brown,MacFayden,,2:04,D,5000,.25,---,
24,Sunday May 15,boxscore,BOS,,CHW,L,2,9,,4-20,8,14.5,Frazier,Moore,,1:31,D,6000,.16,----,
25,Monday May 16,boxscore,BOS,,CHW,L,3,4,10,4-21,8,14.5,Lyons,Russell,,1:55,D,1000,.16,-----,
26,Tuesday May 17,boxscore,BOS,,CHW,L,3,7,,4-22,8,15.0,Gaston,MacFayden,,1:55,D,6000,.10,------,
27,Wednesday May 18,boxscore,BOS,,CHW,W,13,10,,5-22,8,15.0,Weiland,Faber,Kline,2:34,D,2000,.07,+,
28,Thursday May 19,boxscore,BOS,@,PHA,L,2,4,,5-23,8,15.0,Mahaffey,Kline,,1:43,D,3000,.11,-,
29,Friday May 20,boxscore,BOS,@,PHA,L,1,6,,5-24,8,15.5,Walberg,Durham,Grove,2:05,D,2000,.09,--,
