Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
1,Thursday Mar 28,boxscore,CHW,,DET,L,0,1,,0-1,4,1.0,Skubal,Crochet,Foley,2:03,D,33420,.99,-,
2,Saturday Mar 30,boxscore,CHW,,DET,L,6,7,10,0-2,4,2.5,Miller,García,,3:05,D,28176,.96,--,
3,Sunday Mar 31,boxscore,CHW,,DET,L,2,3,,0-3,5,3.0,Holton,Wilson,Foley,2:41,D,17478,.88,---,
4,Monday Apr 1,boxscore,CHW,,ATL,L,0,9,8,0-4,5,4.0,Morton,Flexen,,2:29,D,13781,.77,----,
5,Tuesday Apr 2,boxscore,CHW,,ATL,W,3,2,,1-4,5,3.5,Crochet,Minter,Kopech,2:21,N,12300,.71,+,
6,Thursday Apr 4,boxscore,CHW,@,KCR,L,1,10,,1-5,5,4.0,Lugo,Soroka,,2:26,N,10863,.75,-,
7,Friday Apr 5,boxscore,CHW,@,KCR,L,1,2,,1-6,5,5.0,Stratton,Kopech,McArthur,2:20,N,10592,.74,--,
8,Saturday Apr 6,boxscore,CHW,@,KCR,L,0,3,,1-7,5,5.5,Wacha,Flexen,Stratton,2:11,N,15463,.66,---,
9,Sunday Apr 7,boxscore,CHW,@,KCR,L,3,5,,1-8,5,6.0,Schreiber,García,McArthur,2:29,D,14251,.64,----,
10,Monday Apr 8,boxscore,CHW,@,CLE,L,0,4,,1-9,5,7.0,McKenzie,Banks,,2:35,N,35735,.59,-----,
11,Tuesday Apr 9,boxscore,CHW,@,CLE,W,7,5,,2-9,5,6.0,Wilson,Barlow,Kopech,2:45,N,14887,.57,+,
12,Wednesday Apr 10,boxscore,CHW,@,CLE,L-wo,6,7,10,2-10,5,7.0,Morgan,Shaw,,2:57,N,12405,.59,-,
13,Friday Apr 12,boxscore,CHW,,CIN,L,1,11,,2-11,5,7.5,Abbott,Flexen,,2:43,N,11337,.48,--,
14,Saturday Apr 13,boxscore,CHW,,CIN,L,0,5,,2-12,5,7.5,Lodolo,Crochet,,2:29,D,22598,.44,---,
15,Sunday Apr 14,boxscore,CHW,,CIN,L,4,11,,2-13,5,8.0,Ashcraft,Soroka,,2:57,D,17589,.43,----,
16,Monday Apr 15,boxscore,CHW,,KCR,L,0,2,,2-14,5,9.0,Lugo,Nastrini,McArthur,2:17,N,10569,.43,-----,
17,Wednesday Apr 17 (1),boxscore,CHW,,KCR,L,2,4,,2-15,5,9.0,Anderson,Kopech,McArthur,2:31,D,,.35,------,
18,Wednesday Apr 17 (2),boxscore,CHW,,KCR,W,2,1,,3-15,5,9.0,Fedde,Wacha,García,2:16,D,10412,.30,+,
19,Friday Apr 19,boxscore,CHW,@,PHI,L,0,7,,3-16,5,10.5,Turnbull,Crochet,,2:18,N,39069,.33,-,
20,Saturday Apr 20,boxscore,CHW,@,PHI,L,5,9,,3-17,5,11.5,Wheeler,Soroka,Alvarado,3:03,N,44546,.28,--,
21,Sunday Apr 21,boxscore,CHW,@,PHI,L,2,8,,3-18,5,12.5,Nola,Nastrini,,2:37,D,43614,.25,---,
22,Monday Apr 22,boxscore,CHW,@,MIN,L,0,7,,3-19,5,13.0,Paddack,Cannon,,2:19,N,12443,.23,----,
