Games Played,Result,R,RA
1,L-wo,2,3
2,W,2,1
3,L,4,6
4,L,1,6
5,L,1,5
6,L,1,3
7,L,3,6
8,L,4,7
9,W,12,5
10,L,1,7
11,L,2,17
12,W,7,2
13,L,0,8
14,L,0,2
15,L,0,6
16,L,3,5
17,L,2,6
18,L,7,8
19,L,11,12
20,L,2,3
21,W,3,1
22,L-wo,3,4
23,L,4,7
24,L,2,6
25,L,7,8
26,L,4,6
27,L,1,8
28,L,3,6
29,L,2,8
30,W,2,1
31,W,4,3
32,L,0,4
33,L,3,6
34,L,3,9
35,L,6,8
36,L,2,10
37,L,1,11
38,L,9,13
39,L,0,21
40,W,9,3
41,L,1,2
42,L,1,4
43,L,3,8
44,L,0,8
45,W,14,12
46,L,0,1
47,L,3,9
48,L,4,7
49,L,5,9
50,L,0,2
51,W,3,2
52,L,1,13
53,L,4,5
54,L,1,3
55,L-wo,3,4
56,L,1,2
57,L,2,4
58,L,2,8
59,L,3,5
60,W,6,4
61,W,3,2
62,W,3,2
63,L,2,4
64,L,1,8
65,L,5,13
66,L,5,6
67,L,7,10
68,W-wo,8,7
69,L,4,12
70,L,1,4
71,W,10,1
72,W,6,4
73,W,10,6
74,W,3,1
75,L-wo,3,4
76,L,8,14
77,L,3,5
78,W,4,2
79,L,7,9
80,L,1,8
81,L,1,3
82,L,6,10
83,L,0,5
84,W,4,3
85,L,5,6
86,L,3,5
87,W,7,6
88,L,2,3
89,L,3,10
90,W,6,4
