Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
1,Wednesday Apr 11,boxscore,NYM,@,STL,L,4,11,,0-1,7,1.5,Jackson,Craig,,2:53,N,16147,2.37,-,
2,Friday Apr 13,boxscore,NYM,,PIT,L,3,4,,0-2,7,3.0,Sturdivant,Jones,Face,2:45,D,12447,2.04,--,
3,Saturday Apr 14,boxscore,NYM,,PIT,L,2,6,,0-3,7,4.0,Mizell,Jackson,Face,2:48,D,9231,1.71,---,
4,Sunday Apr 15,boxscore,NYM,,PIT,L,2,7,,0-4,8,4.0,Friend,Craig,,2:20,D,11278,1.57,----,
5,Tuesday Apr 17,boxscore,NYM,,HOU,L,2,5,11,0-5,8,5.5,Golden,Moford,Tiefenauer,3:22,D,3191,1.30,-----,
6,Wednesday Apr 18,boxscore,NYM,,STL,L,5,15,,0-6,9,6.5,Jackson,Jones,Sadecki,2:50,D,4725,1.11,------,
7,Thursday Apr 19,boxscore,NYM,,STL,L,4,9,,0-7,9,7.5,Washburn,Jackson,McDaniel,2:43,D,9060,1.13,-------,
8,Saturday Apr 21,boxscore,NYM,@,PIT,L,4,8,,0-8,9,8.5,Friend,Miller,Face,2:51,D,17927,.90,--------,
9,Sunday Apr 22,boxscore,NYM,@,PIT,L,3,4,,0-9,10,9.5,Veale,Jones,,2:17,D,13780,.88,---------,
10,Monday Apr 23,boxscore,NYM,@,PIT,W,9,1,,1-9,10,8.5,Hook,Sturdivant,,2:40,N,16176,.79,+,
11,Tuesday Apr 24,boxscore,NYM,@,CIN,L,3,7,,1-10,10,9.5,Ellis,Anderson,Drabowsky,3:10,N,5027,.74,-,
12,Wednesday Apr 25,boxscore,NYM,@,CIN,L,1,7,,1-11,10,9.5,Purkey,Miller,,2:40,N,5563,.58,--,
13,Friday Apr 27,boxscore,NYM,,PHI,L,9,11,,1-12,10,9.5,McLish,Craig,Baldschun,3:07,D,9043,.56,---,
14,Saturday Apr 28,boxscore,NYM,,PHI,W,8,6,,2-12,10,8.5,Craig,Sullivan,,3:34,D,10492,.39,+,
15,Sunday Apr 29 (1),boxscore,NYM,,PHI,W,8,0,,3-12,9,9.5,Jackson,Mahaffey,,2:55,D,,.43,++,
16,Sunday Apr 29 (2),boxscore,NYM,,PHI,L,2,10,,3-13,9,9.5,Locke,Jones,Baldschun,3:27,D,19925,.55,-,
17,Tuesday May 1,boxscore,NYM,,CIN,L,2,8,,3-14,9,11.0,Jay,Hook,,2:50,N,5959,.45,--,
18,Friday May 4,boxscore,NYM,@,PHI,L,5,6,,3-15,9,13.0,Green,MacKenzie,,2:48,N,16393,.33,---,
19,Saturday May 5,boxscore,NYM,@,PHI,L,1,2,,3-16,10,13.0,McLish,Jackson,Baldschun,2:32,D,7993,.36,----,
20,Sunday May 6,boxscore,NYM,@,PHI,W,7,5,12,4-16,9,13.0,Anderson,Baldschun,Craig,4:56,D,28215,.21,+,
21,Tuesday May 8,boxscore,NYM,@,CHC,W,3,1,,5-16,9,13.0,Hook,Anderson,,2:37,D,1369,.31,++,
22,Friday May 11,boxscore,NYM,,MLN,L,5,8,,5-17,9,13.0,Shaw,Jackson,Nottebart,3:03,N,15562,.37,-,
23,Saturday May 12 (1),boxscore,NYM,,MLN,W-wo,3,2,,6-17,9,12.5,Anderson,Spahn,,2:30,D,,.26,+,
24,Saturday May 12 (2),boxscore,NYM,,MLN,W-wo,8,7,,7-17,9,12.5,Anderson,Fischer,,3:34,D,19748,.27,++,
25,Sunday May 13,boxscore,NYM,,MLN,L,2,3,,7-18,9,13.5,Butler,Hook,,2:57,D,13447,.37,-,
26,Tuesday May 15,boxscore,NYM,,CHC,W-wo,6,5,13,8-18,9,13.5,Craig,Balsamo,,4:54,N,8463,.32,+,
27,Wednesday May 16,boxscore,NYM,,CHC,W-wo,6,5,11,9-18,8,13.5,Hook,Elston,,3:21,D,3273,.30,++,
28,Friday May 18,boxscore,NYM,@,MLN,L,2,5,,9-19,9,13.0,Spahn,Craig,,2:36,N,9655,.40,-,
29,Saturday May 19,boxscore,NYM,@,MLN,W,6,5,,10-19,8,13.0,MacKenzie,Burdette,Anderson,3:04,D,8471,.40,+,
30,Sunday May 20 (1),boxscore,NYM,@,MLN,W,7,6,,11-19,8,12.0,MacKenzie,Fischer,Anderson,3:01,D,,.45,++,
31,Sunday May 20 (2),boxscore,NYM,@,MLN,W,9,6,,12-19,8,12.0,Jackson,Cloninger,Craig,2:56,D,12672,.48,+++,
32,Monday May 21,boxscore,NYM,@,HOU,L,2,3,,12-20,8,12.0,Golden,Mizell,,2:40,N,16317,.57,-,
33,Tuesday May 22,boxscore,NYM,@,HOU,L,2,3,,12-21,9,12.0,Farrell,Hook,,2:00,N,11980,.46,--,
34,Wednesday May 23,boxscore,NYM,@,LAD,L,1,3,,12-22,9,12.0,Drysdale,Craig,,2:11,N,19885,.41,---,
