,Gm#,Date,Unnamed: 2,Tm,Unnamed: 4,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled,Team,Loss?,Losses,Expected Losses
0,1,Friday Mar 28,boxscore,COL,@,TBR,L-wo,2,3,,0-1,5,2.5,Fairbanks,Vodnik,,2:19,D,10046.0,0.86,-,,2025 COL,1,1,1
1,2,Saturday Mar 29,boxscore,COL,@,TBR,W,2,1,,1-1,3,2.5,Peralta,Littell,Halvorsen,2:34,D,10046.0,0.82,+,,2025 COL,0,1,1
2,3,Sunday Mar 30,boxscore,COL,@,TBR,L,4,6,,1-2,5,3.0,Bradley,Peralta,Fairbanks,2:41,D,10046.0,0.89,-,,2025 COL,1,2,2
3,4,Monday Mar 31,boxscore,COL,@,PHI,L,1,6,,1-3,5,4.0,Ross,Alexander,,2:39,D,44595.0,0.85,--,,2025 COL,1,3,3
4,5,Wednesday Apr 2,boxscore,COL,@,PHI,L,1,5,,1-4,5,5.5,Wheeler,Freeland,,2:32,N,37550.0,0.83,---,,2025 COL,1,4,4
5,6,Thursday Apr 3,boxscore,COL,@,PHI,L,1,3,,1-5,5,6.0,Walker,Senzatela,Alvarado,2:43,D,34097.0,0.74,----,,2025 COL,1,5,5
6,7,Friday Apr 4,boxscore,COL,,ATH,L,3,6,11.0,1-6,5,6.0,Murdock,Chivilli,Miller,3:21,D,48015.0,0.67,-----,,2025 COL,1,6,6
7,8,Saturday Apr 5,boxscore,COL,,ATH,L,4,7,,1-7,5,7.0,Sears,Márquez,Miller,2:44,N,27599.0,0.62,------,,2025 COL,1,7,6
8,9,Sunday Apr 6,boxscore,COL,,ATH,W,12,5,,2-7,5,6.0,Dollander,Estes,Vodnik,2:33,D,26207.0,0.57,+,,2025 COL,0,7,6
9,10,Tuesday Apr 8,boxscore,COL,,MIL,L,1,7,,2-8,5,6.0,Peralta,Freeland,,2:36,N,18657.0,0.65,-,,2025 COL,1,8,7
10,11,Wednesday Apr 9,boxscore,COL,,MIL,L,2,17,,2-9,5,7.0,Anderson,Senzatela,,3:06,N,18867.0,0.64,--,,2025 COL,1,9,9
11,12,Thursday Apr 10,boxscore,COL,,MIL,W,7,2,,3-9,5,6.5,Alexander,Payamps,,2:37,D,18593.0,0.54,+,,2025 COL,0,9,9
12,13,Friday Apr 11,boxscore,COL,@,SDP,L,0,8,,3-10,5,7.5,Pivetta,Márquez,,2:07,N,44089.0,0.64,-,,2025 COL,1,10,10
13,14,Saturday Apr 12,boxscore,COL,@,SDP,L,0,2,,3-11,5,8.5,Hart,Dollander,Suarez,2:12,N,44066.0,0.54,--,,2025 COL,1,11,11
14,15,Sunday Apr 13,boxscore,COL,@,SDP,L,0,6,,3-12,5,9.5,King,Freeland,,2:15,D,42706.0,0.53,---,,2025 COL,1,12,12
15,16,Monday Apr 14,boxscore,COL,@,LAD,L,3,5,,3-13,5,10.5,May,Senzatela,Scott,2:49,N,52693.0,0.46,----,,2025 COL,1,13,13
16,17,Tuesday Apr 15,boxscore,COL,@,LAD,L,2,6,,3-14,5,10.5,Dreyer,Feltner,,2:58,N,53198.0,0.39,-----,,2025 COL,1,14,14
17,18,Wednesday Apr 16,boxscore,COL,@,LAD,L,7,8,,3-15,5,11.5,Casparius,Márquez,Scott,2:52,N,52143.0,0.39,------,,2025 COL,1,15,14
18,19,Saturday Apr 19,boxscore,COL,,WSN,L,11,12,,3-16,5,11.0,Gore,Dollander,Finnegan,3:02,D,24606.0,0.3,-------,,2025 COL,1,16,15
19,20,Sunday Apr 20 (1),boxscore,COL,,WSN,L,2,3,,3-17,5,11.5,Irvin,Freeland,Finnegan,2:20,D,24176.0,0.28,--------,,2025 COL,1,17,15
20,21,Sunday Apr 20 (2),boxscore,COL,,WSN,W,3,1,,4-17,5,11.5,Senzatela,Lord,Kinley,2:29,N,18703.0,0.23,+,,2025 COL,0,17,16
21,22,Tuesday Apr 22,boxscore,COL,@,KCR,L-wo,3,4,11.0,4-18,5,12.0,Lynch,Kinley,,2:53,N,14567.0,0.24,-,,2025 COL,1,18,17
22,23,Thursday Apr 24 (1),boxscore,COL,@,KCR,L,4,7,,4-19,5,12.5,Zerpa,Márquez,Estévez,2:28,D,,0.22,--,,2025 COL,1,19,17
23,24,Thursday Apr 24 (2),boxscore,COL,@,KCR,L,2,6,,4-20,5,12.5,Lorenzen,Dollander,,2:36,D,15601.0,0.2,---,,2025 COL,1,20,18
24,25,Friday Apr 25,boxscore,COL,,CIN,L,7,8,,4-21,5,12.5,Ashcraft,Chivilli,Pagán,3:12,N,21743.0,0.19,----,,2025 COL,1,21,19
25,26,Saturday Apr 26,boxscore,COL,,CIN,L,4,6,,4-22,5,13.0,Greene,Senzatela,Pagán,2:47,D,34040.0,0.17,-----,,2025 COL,1,22,19
26,27,Sunday Apr 27,boxscore,COL,,CIN,L,1,8,,4-23,5,14.0,Lodolo,Blalock,,2:35,D,28408.0,0.14,------,,2025 COL,1,23,20
27,1,Thursday Mar 28,boxscore,CHW,,DET,L,0,1,,0-1,4,1.0,Skubal,Crochet,Foley,2:03,D,33420.0,0.99,-,,2024 CHW,1,1,1
28,2,Saturday Mar 30,boxscore,CHW,,DET,L,6,7,10.0,0-2,4,2.5,Miller,García,,3:05,D,28176.0,0.96,--,,2024 CHW,1,2,1
29,3,Sunday Mar 31,boxscore,CHW,,DET,L,2,3,,0-3,5,3.0,Holton,Wilson,Foley,2:41,D,17478.0,0.88,---,,2024 CHW,1,3,2
30,4,Monday Apr 1,boxscore,CHW,,ATL,L,0,9,8.0,0-4,5,4.0,Morton,Flexen,,2:29,D,13781.0,0.77,----,,2024 CHW,1,4,3
